iter	Passed	Remaining
0	123	123022
1	124	61915
2	124	41500
3	125	31274
4	126	25117
5	126	20995
6	127	18096
7	128	15903
8	128	14195
9	129	12843
10	130	11726
11	131	10790
12	131	10005
13	132	9311
14	132	8711
15	133	8184
16	133	7718
17	133	7304
18	134	6936
19	134	6608
20	135	6320
21	136	6060
22	137	5823
23	137	5607
24	138	5406
25	139	5215
26	139	5035
27	140	4871
28	140	4713
29	141	4567
30	141	4430
31	142	4301
32	142	4182
33	143	4068
34	143	3960
35	144	3859
36	144	3763
37	145	3671
38	145	3586
39	146	3506
40	146	3427
41	147	3353
42	147	3281
43	147	3213
44	148	3147
45	148	3083
46	149	3023
47	149	2966
48	150	2912
49	150	2859
50	150	2808
51	151	2759
52	151	2711
53	152	2665
54	152	2622
55	153	2580
56	153	2539
57	153	2500
58	154	2462
59	154	2425
60	155	2389
61	155	2354
62	156	2321
63	156	2289
64	156	2257
65	157	2227
66	157	2197
67	157	2165
68	158	2137
69	158	2109
70	159	2083
71	159	2057
72	160	2031
73	160	2007
74	160	1984
75	161	1962
76	161	1940
77	162	1919
78	162	1898
79	163	1877
80	163	1858
81	164	1839
82	164	1820
83	165	1802
84	165	1782
85	166	1765
86	166	1746
87	166	1729
88	167	1713
89	167	1697
90	168	1681
91	168	1665
92	169	1649
93	169	1635
94	170	1620
95	170	1606
96	171	1592
97	171	1579
98	171	1565
99	172	1552
100	173	1539
101	173	1525
102	173	1513
103	174	1501
104	174	1490
105	175	1478
106	175	1467
107	176	1455
108	176	1445
109	177	1433
110	177	1423
111	178	1413
112	178	1403
113	179	1393
114	179	1383
115	180	1373
116	180	1363
117	181	1353
118	181	1343
119	181	1334
120	182	1324
121	182	1315
122	183	1305
123	183	1296
124	184	1288
125	184	1279
126	184	1271
127	185	1262
128	185	1254
129	186	1246
130	186	1239
131	187	1231
132	187	1223
133	188	1215
134	188	1207
135	188	1200
136	189	1193
137	189	1186
138	190	1179
139	190	1172
140	191	1165
141	191	1159
142	192	1152
143	192	1146
144	193	1140
145	193	1133
146	194	1127
147	194	1121
148	195	1115
149	195	1109
150	196	1103
151	196	1097
152	197	1091
153	197	1085
154	198	1079
155	198	1074
156	198	1068
157	199	1063
158	200	1058
159	200	1052
160	201	1047
161	201	1042
162	202	1038
163	202	1033
164	203	1028
165	203	1023
166	204	1017
167	204	1012
168	204	1007
169	205	1003
170	206	999
171	206	995
172	207	990
173	207	986
174	208	981
175	208	976
176	209	972
177	209	968
178	210	963
179	210	959
180	210	954
181	211	950
182	211	945
183	212	941
184	212	937
185	213	933
186	213	929
187	214	925
188	214	921
189	215	917
190	215	913
191	216	910
192	216	906
193	217	902
194	217	899
195	218	895
196	218	891
197	219	888
198	219	884
199	220	881
200	220	877
201	221	874
202	221	871
203	222	867
204	222	864
205	223	861
206	223	857
207	224	854
208	224	851
209	225	847
210	225	844
211	226	841
212	226	837
213	227	834
214	227	831
215	228	828
216	228	825
217	229	822
218	229	818
219	230	815
220	230	812
221	231	809
222	231	806
223	232	803
224	232	800
225	233	798
226	233	795
227	234	792
228	234	789
229	235	787
230	235	784
231	236	781
232	236	778
233	236	775
234	237	772
235	237	770
236	238	767
237	238	764
238	239	762
239	239	759
240	240	756
241	240	754
242	241	751
243	241	748
244	242	745
245	242	743
246	242	740
247	243	738
248	243	735
249	244	732
250	244	730
251	245	727
252	245	725
253	246	723
254	246	720
255	247	718
256	247	716
257	248	713
258	248	711
259	249	709
260	249	707
261	250	704
262	250	702
263	251	700
264	251	697
265	252	695
266	252	693
267	253	691
268	253	688
269	253	686
270	254	684
271	254	681
272	255	679
273	255	677
274	256	675
275	256	673
276	257	670
277	257	668
278	257	666
279	258	664
280	258	662
281	259	660
282	259	658
283	260	656
284	260	654
285	261	651
286	261	649
287	262	647
288	262	645
289	262	643
290	263	641
291	263	639
292	264	637
293	264	635
294	265	633
295	265	631
296	266	629
297	266	627
298	267	626
299	267	624
300	267	622
301	268	620
302	268	618
303	269	616
304	269	614
305	270	613
306	270	611
307	271	609
308	271	607
309	272	605
310	272	603
311	273	602
312	273	600
313	273	598
314	274	596
315	274	595
316	275	593
317	275	591
318	276	589
319	276	588
320	277	586
321	277	584
322	278	583
323	278	581
324	279	579
325	279	578
326	280	576
327	280	574
328	280	572
329	281	571
330	281	569
331	282	567
332	282	566
333	283	564
334	283	563
335	284	561
336	284	559
337	285	558
338	285	556
339	285	555
340	286	553
341	286	551
342	287	550
343	287	548
344	288	547
345	288	545
346	289	544
347	289	542
348	290	541
349	290	539
350	291	538
351	291	536
352	292	535
353	292	533
354	293	532
355	293	530
356	293	529
357	294	527
358	294	526
359	295	525
360	295	523
361	296	522
362	296	520
363	297	519
364	297	517
365	298	516
366	298	514
367	298	513
368	299	511
369	299	510
370	300	509
371	300	507
372	301	506
373	301	505
374	302	503
375	302	502
376	303	501
377	303	499
378	304	498
379	304	496
380	304	495
381	305	494
382	305	492
383	306	491
384	306	490
385	307	488
386	307	487
387	308	486
388	308	484
389	309	483
390	309	481
391	309	480
392	310	479
393	310	478
394	311	476
395	311	475
396	312	474
397	312	472
398	313	471
399	313	470
400	314	469
401	314	467
402	314	466
403	315	465
404	315	464
405	316	462
406	316	461
407	317	460
408	317	459
409	318	457
410	318	456
411	319	455
412	319	454
413	320	453
414	320	451
415	321	450
416	321	449
417	321	448
418	322	446
419	322	445
420	323	444
421	323	443
422	324	442
423	324	440
424	325	439
425	325	438
426	325	437
427	326	436
428	326	434
429	327	433
430	327	432
431	328	431
432	328	430
433	329	429
434	329	428
435	330	426
436	330	425
437	331	424
438	331	423
439	331	422
440	332	421
441	332	420
442	333	419
443	333	417
444	334	416
445	334	415
446	335	414
447	335	413
448	336	412
449	336	411
450	337	410
451	337	409
452	337	408
453	338	407
454	338	405
455	339	404
456	339	403
457	340	402
458	340	401
459	341	400
460	341	399
461	342	398
462	342	397
463	343	396
464	343	395
465	343	394
466	344	393
467	344	392
468	345	390
469	345	389
470	346	388
471	346	387
472	347	386
473	347	385
474	347	384
475	348	383
476	348	382
477	349	381
478	349	380
479	350	379
480	350	378
481	351	377
482	351	376
483	352	375
484	352	374
485	352	373
486	353	372
487	353	371
488	354	370
489	354	369
490	355	368
491	355	367
492	356	366
493	356	365
494	357	364
495	357	363
496	358	362
497	358	361
498	358	360
499	359	359
500	359	358
501	360	357
502	360	356
503	361	355
504	361	354
505	362	353
506	362	352
507	363	351
508	363	350
509	363	349
510	364	348
511	365	347
512	365	347
513	366	346
514	366	345
515	367	344
516	367	343
517	368	342
518	368	341
519	369	340
520	369	339
521	370	339
522	370	338
523	371	337
524	371	336
525	372	335
526	372	334
527	373	333
528	374	333
529	374	332
530	374	331
531	375	330
532	376	329
533	376	328
534	376	327
535	377	326
536	377	325
537	378	324
538	378	324
539	379	323
540	379	322
541	380	321
542	380	320
543	381	319
544	381	318
545	382	317
546	382	316
547	383	315
548	383	315
549	384	314
550	384	313
551	384	312
552	385	311
553	386	310
554	386	309
555	387	309
556	387	308
557	387	307
558	388	306
559	388	305
560	389	304
561	389	303
562	390	303
563	390	302
564	391	301
565	391	300
566	392	299
567	392	298
568	393	297
569	393	297
570	394	296
571	394	295
572	395	294
573	395	293
574	395	292
575	396	291
576	396	290
577	397	290
578	397	289
579	398	288
580	398	287
581	399	286
582	400	286
583	400	285
584	400	284
585	401	283
586	401	282
587	402	281
588	402	281
589	403	280
590	403	279
591	404	278
592	404	277
593	405	276
594	405	276
595	406	275
596	406	274
597	407	273
598	407	272
599	407	271
600	408	271
601	408	270
602	409	269
603	409	268
604	410	267
605	410	267
606	411	266
607	411	265
608	412	264
609	412	263
610	413	263
611	413	262
612	414	261
613	414	260
614	415	259
615	415	259
616	416	258
617	416	257
618	417	256
619	417	255
620	418	255
621	418	254
622	419	253
623	419	252
624	420	252
625	420	251
626	420	250
627	421	249
