iter	Passed	Remaining
0	135	135448
1	137	68509
2	139	46340
3	140	35056
4	142	28258
5	143	23745
6	144	20547
7	146	18152
8	147	16258
9	149	14778
10	150	13569
11	152	12529
12	153	11662
13	154	10861
14	154	10159
15	155	9565
16	156	9050
17	157	8588
18	158	8181
19	159	7814
20	160	7477
21	161	7168
22	162	6882
23	162	6619
24	163	6382
25	164	6159
26	165	5947
27	165	5750
28	166	5565
29	166	5392
30	167	5230
31	167	5076
32	168	4931
33	168	4801
34	169	4674
35	170	4552
36	170	4436
37	170	4326
38	171	4223
39	171	4124
40	172	4030
41	172	3939
42	173	3853
43	173	3771
44	174	3695
45	174	3622
46	175	3552
47	175	3485
48	176	3422
49	176	3360
50	177	3302
51	177	3244
52	178	3189
53	179	3136
54	179	3087
55	180	3037
56	180	2988
57	181	2942
58	181	2897
59	182	2853
60	182	2810
61	183	2768
62	183	2728
63	183	2689
64	184	2653
65	185	2618
66	185	2582
67	185	2549
68	186	2516
69	186	2483
70	187	2452
71	187	2422
72	188	2393
73	188	2364
74	189	2335
75	189	2308
76	190	2282
77	190	2256
78	191	2230
79	191	2205
80	192	2181
81	192	2158
82	193	2133
83	193	2111
84	194	2089
85	194	2068
86	195	2046
87	195	2025
88	195	2005
89	196	1985
90	196	1965
91	197	1946
92	197	1928
93	198	1910
94	198	1893
95	199	1875
96	199	1858
97	200	1842
98	200	1826
99	201	1810
100	201	1795
101	202	1780
102	202	1765
103	203	1750
104	203	1736
105	204	1721
106	204	1707
107	205	1693
108	205	1680
109	206	1667
110	206	1654
111	207	1642
112	207	1630
113	208	1617
114	208	1606
115	209	1594
116	209	1582
117	210	1570
118	210	1558
119	211	1548
120	211	1537
121	212	1526
122	212	1516
123	213	1506
124	213	1495
125	214	1485
126	214	1474
127	215	1465
128	215	1455
129	216	1445
130	216	1436
131	217	1427
132	217	1418
133	218	1409
134	218	1401
135	219	1392
136	219	1384
137	220	1375
138	220	1367
139	221	1358
140	221	1350
141	222	1341
142	222	1333
143	223	1326
144	223	1318
145	224	1310
146	224	1303
147	225	1295
148	225	1288
149	226	1281
150	226	1274
151	227	1268
152	227	1261
153	228	1255
154	229	1249
155	229	1242
156	230	1236
157	230	1229
158	231	1223
159	231	1216
160	232	1209
161	232	1203
162	233	1197
163	233	1191
164	234	1186
165	235	1181
166	235	1176
167	236	1170
168	237	1166
169	237	1160
170	238	1155
171	238	1150
172	239	1144
173	239	1139
174	240	1133
175	240	1128
176	241	1123
177	242	1118
178	242	1113
179	243	1108
180	243	1103
181	244	1098
182	244	1093
183	245	1088
184	246	1083
185	246	1078
186	247	1074
187	247	1069
188	248	1064
